128, 54, 54, 64, 11, 11, 3, 64, 0, 0, 4, 4, 128, 224, 224, 3, 1.0, 1.0, 11.49
128, 26, 26, 192, 5, 5, 64, 192, 2, 2, 1, 1, 128, 26, 26, 64, 1.0, 1.0, 33.39
128, 12, 12, 384, 3, 3, 192, 384, 1, 1, 1, 1, 128, 12, 12, 192, 1.0, 1.0, 17.12
128, 12, 12, 384, 3, 3, 384, 384, 1, 1, 1, 1, 128, 12, 12, 384, 1.0, 1.0, 23.14
128, 12, 12, 256, 3, 3, 384, 256, 1, 1, 1, 1, 128, 12, 12, 384, 1.0, 1.0, 15.13
128, 54, 54, 64, 11, 11, 3, 64, 0, 0, 4, 4, 128, 224, 224, 3, 1.0, 1.0, 11.49
128, 26, 26, 192, 5, 5, 64, 192, 2, 2, 1, 1, 128, 26, 26, 64, 1.0, 1.0, 33.39
128, 12, 12, 384, 3, 3, 192, 384, 1, 1, 1, 1, 128, 12, 12, 192, 1.0, 1.0, 17.12
128, 12, 12, 384, 3, 3, 384, 384, 1, 1, 1, 1, 128, 12, 12, 384, 1.0, 1.0, 23.14
128, 12, 12, 256, 3, 3, 384, 256, 1, 1, 1, 1, 128, 12, 12, 384, 1.0, 1.0, 15.13
128, 54, 54, 64, 11, 11, 3, 64, 0, 0, 4, 4, 128, 224, 224, 3, 1.0, 1.0, 11.49
128, 26, 26, 192, 5, 5, 64, 192, 2, 2, 1, 1, 128, 26, 26, 64, 1.0, 1.0, 33.39
128, 12, 12, 384, 3, 3, 192, 384, 1, 1, 1, 1, 128, 12, 12, 192, 1.0, 1.0, 17.12
128, 12, 12, 384, 3, 3, 384, 384, 1, 1, 1, 1, 128, 12, 12, 384, 1.0, 1.0, 23.14
128, 12, 12, 256, 3, 3, 384, 256, 1, 1, 1, 1, 128, 12, 12, 384, 1.0, 1.0, 15.13
128, 54, 54, 64, 11, 11, 3, 64, 0, 0, 4, 4, 128, 224, 224, 3, 1.0, 1.0, 11.49
128, 26, 26, 192, 5, 5, 64, 192, 2, 2, 1, 1, 128, 26, 26, 64, 1.0, 1.0, 33.39
128, 12, 12, 384, 3, 3, 192, 384, 1, 1, 1, 1, 128, 12, 12, 192, 1.0, 1.0, 17.12
128, 12, 12, 384, 3, 3, 384, 384, 1, 1, 1, 1, 128, 12, 12, 384, 1.0, 1.0, 23.14
128, 12, 12, 256, 3, 3, 384, 256, 1, 1, 1, 1, 128, 12, 12, 384, 1.0, 1.0, 15.13
